SET,WAY,Tag,Format,Addr1,conf1,Addr2,conf1,Addr3,conf3,Addr4,conf4,Addr5,conf5,Addr6,conf6,bb_size
10,4,1EF,2,0EDCAEB8,2,0EDBFE5B,3,00000000,0,00000000,0,00000000,0,00000000,0,2
10,5,2BF,3,0000B639,1,0000E107,2,0000E106,2,00000000,0,00000000,0,00000000,0,1
10,6,2A2,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
10,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
10,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
10,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
10,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
10,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
10,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
10,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
10,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
10,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
11,0,0FF,2,0E8E49D9,3,0ECCD7DA,3,00000000,0,00000000,0,00000000,0,00000000,0,D
11,1,1EE,3,000077B9,2,00023E80,3,00000000,0,00000000,0,00000000,0,00000000,0,1
11,2,0D3,3,00000EAF,0,00000F1B,1,0000FE62,3,00000000,0,00000000,0,00000000,0,1
11,3,29F,2,0EDBA6C5,3,0EDCA201,2,00000000,0,00000000,0,00000000,0,00000000,0,3
11,4,0D4,4,00000D9B,3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
11,5,0B2,5,000000D1,1,000000DC,3,00000000,0,00000000,0,00000000,0,00000000,0,0
11,6,0B6,2,0EDCB61F,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
11,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
11,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
11,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
11,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
11,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
11,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
11,13,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
11,14,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
11,15,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
12,0,0D3,3,00000EB3,0,00000EAF,2,0000FE62,0,00000000,0,00000000,0,00000000,0,1
12,1,2BF,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,1
12,2,1F2,2,0EDCAF91,3,0EDCAF90,2,00000000,0,00000000,0,00000000,0,00000000,0,1
12,3,0AC,3,00002239,2,00003726,3,0000371F,2,00000000,0,00000000,0,00000000,0,3
12,4,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
12,5,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
12,6,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
12,7,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
12,8,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
12,9,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
12,10,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
12,11,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
12,12,000,1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,0
